resolution,index,country,as_of,latest,ewma_baseline,alarm_3p,alarm_3p_alert,alarm_5p,alarm_5p_alert,cusum,cusum_alert
Daily,deepseek,Afghanistan,2026-07-20,0.0,0.0001,-0.05,NORMAL,-0.05,NORMAL,0.0,NORMAL
Daily,deepseek,Albania,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Algeria,2026-07-20,0.0,0.0,-0.02,NORMAL,-0.02,NORMAL,0.0,NORMAL
Daily,deepseek,American Samoa,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Andorra,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Angola,2026-07-20,0.0,0.0001,-0.03,NORMAL,-0.03,NORMAL,0.0,NORMAL
Daily,deepseek,Antarctica,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Antigua & Barbuda,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Argentina,2026-07-20,0.0,0.0002,-0.08,NORMAL,-0.08,NORMAL,0.0,NORMAL
Daily,deepseek,Armenia,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Aruba,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Australia,2026-07-20,0.0,0.0005,-0.08,NORMAL,-0.08,NORMAL,0.0,NORMAL
Daily,deepseek,Austria,2026-07-20,0.0,0.0002,-0.12,NORMAL,-0.12,NORMAL,0.0,NORMAL
Daily,deepseek,Azerbaijan,2026-07-20,0.0,0.0001,-0.13,NORMAL,-0.13,NORMAL,0.0,NORMAL
Daily,deepseek,Bahamas,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Bahrain,2026-07-20,0.0,0.0002,-0.06,NORMAL,-0.06,NORMAL,0.0,NORMAL
Daily,deepseek,Bangladesh,2026-07-20,0.0,0.0004,-0.14,NORMAL,-0.14,NORMAL,0.0,NORMAL
Daily,deepseek,Barbados,2026-07-20,0.0,0.0,-0.03,NORMAL,-0.03,NORMAL,0.0,NORMAL
Daily,deepseek,Belarus,2026-07-20,0.0,0.0002,-0.1,NORMAL,-0.1,NORMAL,0.0,NORMAL
Daily,deepseek,Belgium,2026-07-20,0.0,0.0001,-0.12,NORMAL,-0.12,NORMAL,0.0,NORMAL
Daily,deepseek,Belize,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Benin,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Bermuda,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Bhutan,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Bolivia,2026-07-20,0.0,0.0,-0.02,NORMAL,-0.02,NORMAL,0.0,NORMAL
Daily,deepseek,Bosnia & Herzegovina,2026-07-20,0.0,0.0,-0.08,NORMAL,-0.08,NORMAL,0.0,NORMAL
Daily,deepseek,Botswana,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Brazil,2026-07-20,0.0,0.001,-0.26,NORMAL,-0.26,NORMAL,0.0,NORMAL
Daily,deepseek,British Virgin Islands,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Brunei,2026-07-20,0.0,0.0001,-0.09,NORMAL,-0.09,NORMAL,0.0,NORMAL
Daily,deepseek,Bulgaria,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Burkina Faso,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Burundi,2026-07-20,0.0,0.0001,-0.1,NORMAL,-0.1,NORMAL,0.0,NORMAL
Daily,deepseek,Cambodia,2026-07-20,0.0,0.0007,-0.14,NORMAL,-0.14,NORMAL,0.0,NORMAL
Daily,deepseek,Cameroon,2026-07-20,0.0,0.0,-0.04,NORMAL,-0.04,NORMAL,0.0,NORMAL
Daily,deepseek,Canada,2026-07-20,0.0,0.0008,-0.2,NORMAL,-0.2,NORMAL,0.0,NORMAL
Daily,deepseek,Cape Verde,2026-07-20,0.0,0.0,-0.07,NORMAL,-0.07,NORMAL,0.0,NORMAL
Daily,deepseek,Cayman Islands,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Central African Republic,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Chad,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Chile,2026-07-20,0.0,0.0004,-0.12,NORMAL,-0.12,NORMAL,0.0,NORMAL
Daily,deepseek,China,2026-07-20,0.0,0.0001,-0.18,NORMAL,-0.18,NORMAL,0.0,NORMAL
Daily,deepseek,Colombia,2026-07-20,0.0,0.0002,-0.06,NORMAL,-0.06,NORMAL,0.0,NORMAL
Daily,deepseek,Comoros,2026-07-20,0.0,0.0,-0.03,NORMAL,-0.03,NORMAL,0.0,NORMAL
Daily,deepseek,Congo - Brazzaville,2026-07-20,0.0,0.0001,-0.09,NORMAL,-0.09,NORMAL,0.0,NORMAL
Daily,deepseek,Congo - Kinshasa,2026-07-20,0.0,0.0,-0.09,NORMAL,-0.09,NORMAL,0.29,NORMAL
Daily,deepseek,Cook Islands,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Costa Rica,2026-07-20,0.0,0.0,-0.02,NORMAL,-0.02,NORMAL,0.0,NORMAL
