country,year,month,ym,score
US,1950,1,1950-01,-7.5
US,1950,2,1950-02,-7.5
US,1950,3,1950-03,-7.5
US,1950,4,1950-04,-7.5
US,1950,5,1950-05,-7.5
US,1950,6,1950-06,-7.6
US,1950,7,1950-07,-7.6
US,1950,8,1950-08,-7.8
US,1950,9,1950-09,-7.9
US,1950,10,1950-10,-8.0
US,1950,11,1950-11,-8.1
US,1950,12,1950-12,-8.2
US,1951,1,1951-01,-8.2
US,1951,2,1951-02,-8.2
US,1951,3,1951-03,-8.2
US,1951,4,1951-04,-8.2
US,1951,5,1951-05,-8.3
US,1951,6,1951-06,-8.2
US,1951,7,1951-07,-7.8
US,1951,8,1951-08,-7.8
US,1951,9,1951-09,-7.9
US,1951,10,1951-10,-7.8
US,1951,11,1951-11,-7.8
US,1951,12,1951-12,-7.9
US,1952,1,1952-01,-7.9
US,1952,2,1952-02,-7.9
US,1952,3,1952-03,-7.9
US,1952,4,1952-04,-7.7
US,1952,5,1952-05,-7.8
US,1952,6,1952-06,-7.8
US,1952,7,1952-07,-7.8
US,1952,8,1952-08,-7.8
US,1952,9,1952-09,-7.8
US,1952,10,1952-10,-7.9
US,1952,11,1952-11,-7.9
US,1952,12,1952-12,-8.0
US,1953,1,1953-01,-8.0
US,1953,2,1953-02,-8.0
US,1953,3,1953-03,-7.8
US,1953,4,1953-04,-7.4
US,1953,5,1953-05,-7.3
US,1953,6,1953-06,-7.2
US,1953,7,1953-07,-6.1
US,1953,8,1953-08,-6.1
US,1953,9,1953-09,-6.1
US,1953,10,1953-10,-5.9
US,1953,11,1953-11,-5.9
US,1953,12,1953-12,-6.1
US,1954,1,1954-01,-6.1
US,1954,2,1954-02,-6.0
US,1954,3,1954-03,-6.0
US,1954,4,1954-04,-5.9
US,1954,5,1954-05,-5.9
US,1954,6,1954-06,-5.8
US,1954,7,1954-07,-5.8
US,1954,8,1954-08,-5.9
US,1954,9,1954-09,-6.0
US,1954,10,1954-10,-6.0
US,1954,11,1954-11,-6.1
US,1954,12,1954-12,-6.4
US,1955,1,1955-01,-6.9
US,1955,2,1955-02,-7.0
US,1955,3,1955-03,-7.0
US,1955,4,1955-04,-6.7
US,1955,5,1955-05,-6.7
US,1955,6,1955-06,-6.7
US,1955,7,1955-07,-6.3
US,1955,8,1955-08,-6.2
US,1955,9,1955-09,-5.9
US,1955,10,1955-10,-5.9
US,1955,11,1955-11,-5.9
US,1955,12,1955-12,-5.9
US,1956,1,1956-01,-5.9
US,1956,2,1956-02,-5.9
US,1956,3,1956-03,-5.9
US,1956,4,1956-04,-5.9
US,1956,5,1956-05,-5.9
US,1956,6,1956-06,-5.9
US,1956,7,1956-07,-5.9
US,1956,8,1956-08,-5.8
US,1956,9,1956-09,-5.8
US,1956,10,1956-10,-5.8
US,1956,11,1956-11,-5.8
US,1956,12,1956-12,-5.8
US,1957,1,1957-01,-5.8
US,1957,2,1957-02,-5.8
US,1957,3,1957-03,-5.8
US,1957,4,1957-04,-5.8
US,1957,5,1957-05,-5.8
US,1957,6,1957-06,-5.9
US,1957,7,1957-07,-5.9
US,1957,8,1957-08,-5.8
US,1957,9,1957-09,-5.8
US,1957,10,1957-10,-5.8
US,1957,11,1957-11,-5.7
US,1957,12,1957-12,-5.7
US,1958,1,1958-01,-5.7
US,1958,2,1958-02,-5.7
US,1958,3,1958-03,-5.7
US,1958,4,1958-04,-5.7
US,1958,5,1958-05,-5.7
US,1958,6,1958-06,-5.7
US,1958,7,1958-07,-5.7
US,1958,8,1958-08,-5.7
