country,period,n_art,deepseek,lexicon,lss,negativity,law_deg,norms_deg,threat_deg,selfdef_deg,limited_deg,discr_deg,relations
Australia,1948-12-28,1,0.0,0.0,-0.234187,0.3,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-01-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-01-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-01-18,1,0.0,0.0,-0.217141,0.8,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-01-25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-02-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-02-15,1,0.0,0.0,2.552367,0.8,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-02-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-03-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-03-15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-03-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-03-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-04-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-04-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-04-19,1,0.0,0.0,0.139801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-04-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-05-03,1,0.0,0.0,0.441699,0.7,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-05-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-05-17,1,0.05,0.0,0.612812,0.85,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-05-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-05-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-06-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-06-14,1,0.05,0.0,1.565081,0.85,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-06-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-06-28,1,0.0,0.0,-0.007034,0.3,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-07-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-07-12,1,0.0,0.0,0.109702,0.3,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-07-19,1,0.0,0.0,1.600756,0.85,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-07-26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-08-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-08-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-08-16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-08-23,3,0.06666667,0.0,2.30563067,0.85,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-08-30,4,0.1125,0.0,1.51411375,0.5,0.05,0.175,0.075,0.1,0.025,0.025,
Australia,1949-09-06,1,0.02,0.0,3.790016,0.95,0.0,0.2,0.0,0.0,0.0,0.0,
Australia,1949-09-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-09-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-09-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-10-04,2,0.05,0.0,2.3795945,0.875,0.1,0.15,0.0,0.0,0.0,0.0,
Australia,1949-10-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-10-18,1,0.0,0.00233645,1.451163,0.85,0.0,0.2,0.0,0.0,0.0,0.0,
Australia,1949-10-25,3,0.02333333,0.0,2.37867167,0.85,0.0,0.06666667,0.0,0.0,0.0,0.0,
Australia,1949-11-01,10,0.025,0.00048544,1.9797312,0.785,0.0,0.12,0.01,0.0,0.0,0.0,
Australia,1949-11-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-11-15,14,0.00214286,0.0,0.23583456,0.28571429,0.0,0.01428571,0.0,0.0,0.0,0.0,
Australia,1949-11-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-11-29,2,0.0,0.0,0.3041,0.2,0.0,0.1,0.0,0.0,0.0,0.0,
Australia,1949-12-06,2,0.0,0.0,0.1482275,0.25,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-12-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-12-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1949-12-27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia,1950-01-03,3,0.0,0.0,0.59994433,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-01-10,3,0.03333333,0.0,0.60734767,0.8,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-01-17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-01-24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-02-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-02-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-02-21,2,0.0,0.0,0.339382,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-02-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-03-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-03-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-03-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-03-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-04-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-04-11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-04-18,2,0.025,0.0,0.9499645,0.575,0.0,0.1,0.0,0.0,0.0,0.0,-3.0
Australia,1950-04-25,1,0.0,0.0,0.169081,0.7,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-05-02,1,0.05,0.0,1.87873,0.7,0.0,0.2,0.0,0.0,0.0,0.0,-3.0
Australia,1950-05-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-05-16,1,0.0,0.0,0.10592,0.7,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-05-23,2,0.0,0.0,0.099111,0.55,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-05-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-06-06,1,0.0,0.0,0.703842,0.7,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-06-13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-06-20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-06-27,1,0.01,0.0,0.05838,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-07-04,1,0.02,0.0,1.295921,0.8,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-07-11,1,0.05,0.00125471,1.116714,0.8,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-07-18,1,0.0,0.0,0.808522,0.7,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-07-25,1,0.0,0.0,0.607842,0.7,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-08-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-08-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-08-15,1,0.0,0.0,0.276576,0.85,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-08-22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-08-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Australia,1950-09-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2
Australia,1950-09-12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2
